GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ascm-web,com.idea.ascm.web,WebController,0,5,0,0,0,2,0,2,0,2
ascm-web,com.idea.ascm,AscmApplication,5,3,0,0,2,1,1,1,1,1
